"Factor","category","class","direction","ko"
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Aging","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Amino acid metabolism","Down",9
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Biosynthesis of other secondary metabolites","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Overview","Down",13
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Specific types","Down",11
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Carbohydrate metabolism","Down",3
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cardiovascular diseases","Down",3
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell growth and death","Down",5
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell motility","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cellular community - eukaryotes","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Circulatory system","Down",2
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Development","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Digestive system","Down",10
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Endocrine and metabolic diseases","Down",2
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Endocrine system","Down",21
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Energy metabolism","Down",2
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Environmental adaptation","Down",5
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Excretory system","Down",5
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Glycan biosynthesis and metabolism","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Immune system","Down",2
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Bacterial","Down",3
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Viral","Down",5
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Lipid metabolism","Down",6
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of cofactors and vitamins","Down",3
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of other amino acids","Down",6
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Nervous system","Down",10
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Neurodegenerative diseases","Down",7
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Nucleotide metabolism","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Replication and repair","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Sensory system","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signal transduction","Down",17
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signaling molecules and interaction","Down",2
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Substance dependence","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Translation","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Transport and catabolism","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Xenobiotics biodegradation and metabolism","Down",9
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Amino acid metabolism","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Overview","Up",14
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Specific types","Up",17
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Carbohydrate metabolism","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cardiovascular diseases","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell growth and death","Up",8
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell motility","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cellular community - eukaryotes","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Circulatory system","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Development","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Digestive system","Up",8
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Endocrine and metabolic diseases","Up",9
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Endocrine system","Up",17
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Environmental adaptation","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Excretory system","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Folding, sorting and degradation","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Immune diseases","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Immune system","Up",33
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Bacterial","Up",10
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Parasitic","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Viral","Up",21
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Lipid metabolism","Up",9
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of cofactors and vitamins","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of other amino acids","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of terpenoids and polyketides","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Nervous system","Up",11
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Neurodegenerative diseases","Up",4
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Nucleotide metabolism","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Sensory system","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signal transduction","Up",36
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signaling molecules and interaction","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Substance dependence","Up",3
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Translation","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Transport and catabolism","Up",5
